model,epsilon,condition,f1
Vanilla TGNN,clean,Clean,0.8234340158118791
Vanilla TGNN,benign,Benign Fluctuation,0.8229103420360251
Vanilla TGNN,TDAP 5%,TDAP Attack,0.45336348219332956
Vanilla TGNN,TDAP 10%,TDAP Attack,0.27255985267034993
DG-Mamba,clean,Clean,0.8406243130358321
DG-Mamba,benign,Benign Fluctuation,0.8394032470381746
DG-Mamba,TDAP 5%,TDAP Attack,0.5401624548736462
DG-Mamba,TDAP 10%,TDAP Attack,0.36386138613861385
DCD,clean,Clean,0.833634719710669
DCD,benign,Benign Fluctuation,0.8452728497642039
DCD,TDAP 5%,TDAP Attack,0.77602076941232
DCD,TDAP 10%,TDAP Attack,0.7460429955114576
